NbS_Group,ID,Source_title,Organisation__authoring_body,Year,Document_type,Geography,Spatial_approach,Scalability_A_Geographic,Scalability_A_Justification,Scalability_B_Method,Scalability_B_Justification,Scalability_C_Data,Scalability_C_Justification,Scalability_Score,Quality_Citations,Quality_Confidence,Quality_Score,Combined_Score,Final_Benchmark,citations,Confidence,Link
Crop Production Systems,5,Mapping the Potential for Cocoa Agroforestry in Ghana for Climate Change Adaptation and Mitigation,UNEP-WCMC / KNUST / Alliance Bioversity-CIAT,2023,Analytical study report,Ghana (cocoa belt),MCDA / weighted overlay,2,"The spatial analysis in this document was applied nationwide in Ghana, specifically focusing on the cocoa belt area, which included detailed mapping and scenario planning across the entire country's landscape",2,"The method described relies on a scenario-based spatial analysis framework where specific parameters, such as land cover transitions and biodiversity metrics, are heavily dependent on local context, data, and assumptions about local conditions. Due to the need for locally defined thresholds, parameters, and expert input, it cannot be directly applied to other regions without significant adaptation and local calibration",1,"The analysis uses data from a national land-cover map for Ghana, climate-smart cocoa recommendation domains, and biodiversity coefficients derived from the PREDICTS dataset. While it includes some reference to established datasets like the IPCC carbon stock parameters, the majority of the data is explicitly national or region-specific, which would make it difficult to replicate in a different region without equivalent local data. Therefore, the datasets are primarily local in nature",2,1,1,1,1.5,Low,15,Low,https://resources.unep-wcmc.org/products/WCMC_RT493
Livestock Production Systems,3,County Spatial Planning in Pastoral Areas – Toolkit III: Developing Scenarios and Formulating Plan Proposals,National Land Commission (Kenya),2019,Manual (planning toolkit),Kenya (pastoral counties),Participatory GIS & scenario-based land-use zoning,1,"The spatial analysis outlined in the document was specifically applied at the county scale in Kenya, aimed at addressing the planning needs of pastoral counties. The toolkit provided methods for scenario development and spatial prioritisation directly relevant to these sub-national areas; therefore, it is categorized as a local or sub-national application.",2,"The spatial approach described in the Toolkit is primarily tailored to the unique context of pastoral areas in Kenya, involving localized participatory GIS methods and stakeholder engagement to derive land use scenarios and zoning strategies. While the underlying analytical framework is documented, the reliance on local expert input for weights, community-specific participatory mapping, and tailored qualitative assessments significantly limits the method's immediate applicability in other regions",1,"The analysis in this document heavily relies on locally sourced datasets including land use and tenure maps, stock routes, and community grazing plans specific to pastoral counties in Kenya. These datasets, supplemented by participatory mapping and local stakeholder engagement, would not be readily replicable in a different region without similar local data or studies. Additionally, the Toolkit does not reference globally accessible datasets that could facilitate broader applicability outside its specific context. Consequently, the generalizability of the input datasets for replication analysis in a different region is quite limited. Therefore, I would assign a score of 1. 

1",1,1,1,1,1,Low,10,Low,https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/151131468300538343
Livestock Production Systems,5,Mapping the Suitability of Tropical Forages – Now and in the Future,CIAT (Alliance Bioversity-CIAT),2018,Tool documentation (poster),Global tropics,Climate-envelope species distribution modeling (current vs future),1,"The spatial analysis of forage suitability was applied specifically within East Africa, covering Kenya, Tanzania, Rwanda, and Ethiopia; thus the largest geographic scope demonstrated by the analysis is sub-national.",2,"The spatial method described employs a suitability mapping tool that appears to be well-documented and user-friendly, indicating a standardized approach that could potentially be adapted to other contexts. However, because the specific details regarding the suitability modeling approach, variable selection, and local adaptation are not provided, significant contextual tuning would likely be necessary to ensure effective application in different regions; thus, it may not be broadly transferable without careful adjustments.",1,"The document does not specify any particular datasets used for the analysis, only mentioning a ""suitability mapping tool"" that is bundled with a spatial database. With no details on the types or sources of data, it is implied that the analysis may rely significantly on a proprietary or regional database that is not openly replicable elsewhere. The lack of documentation on the datasets limits the generalizability of the findings beyond East Africa. Therefore, I would rate it as primarily local/proprietary since the critical data components are not described and cannot be assumed to be accessible outside the original context.",1,2,1,2,1.5,Low,20,Low,https://iucn.org/sites/default/files/2023-06/2_compressed.pdf
Livestock Production Systems,6,Sustainable Rangeland Management Toolkit for Resilient Pastoral Systems,IUCN & ICARDA,2022,Toolkit/handbook,Global drylands (case studies in MENA/Africa),Participatory rangeland planning & monitoring at landscape scale,1,"The spatial analysis in the toolkit was applied at a landscape scale, which spans thousands of square kilometers and involves shared rights among numerous households in dryland rangelands primarily in West Asia and North Africa. This landscape scale indicates a sub-national extent rather than a localized or national coverage",2,"The spatial method described in the document emphasizes participatory governance and landscape-level planning, which can potentially be adapted to other regions with similar socio-ecological contexts. However, the reliance on local stakeholder engagement and context-specific mapping significantly limits its transferability, as it would require recalibration and local adaptation to fit different governance structures and ecological conditions. Therefore, while the foundational method can be replicated elsewhere, the specific application and effectiveness will vary greatly depending on local circumstances",2,"The analysis in the summary relies heavily on locally integrated datasets for biophysical, socio-economic, and governance factors while acknowledging specific limitations in data availability. Key inputs like vegetation cover and soil conditions may depend on localized surveys or participatory mapping efforts, which may not be replicable in different regions without similar data collection efforts. The toolkit appears to use a mix of potentially globally available climate data alongside locally sourced socio-economic data",2,1,1,1,1.5,Low,15,Low,https://hdl.handle.net/10568/97547
Livestock Production Systems,7,Mapping Guidelines for Participatory Rangeland Management in Pastoral and Agro-Pastoral Areas: Practitioners’ Guide,"CARE Intl., USAID & Mercy Corps (authors: B. Irwin, A. Cullis, F. Flintan)",2015,Field guide,"East Africa (Ethiopia, Kenya, etc.)",Community mapping for local rangeland management,3,"The document applied participatory mapping techniques specifically within pastoral and agro-pastoral community contexts in East Africa, particularly in the operational settings of Ethiopia and Kenya; since it aims to provide a framework for rangeland management in this regional context, I score this as a national level application. However, as the methodology encompasses broader applications across pastoral communities potentially spanning multiple countries, I will opt for the higher multi-country score. Therefore, the geographic scope of application is best represented as a multi-country extent",1,"The spatial method involves community mapping tailored specifically to local contexts, which necessitates engagement with local stakeholders and gathering context-specific knowledge. This heavy reliance on local participation and community-defined geographies makes the method challenging to transfer to other regions without significant adaptation",NA,"The document relies heavily on community knowledge and participatory mapping techniques, which depend on localized, qualitative data gathered through structured dialogue and field participation. While some elements could be theoretically adapted to different regions using similar facilitative methods, the specificity of community-generated data and the local contextual understanding needed for effective implementation limit the generalizability of the analysis. There are no mentions of openly available or globally accessible datasets in the summary; therefore, I would assess the datasets as primarily local/proprietary. 

1",2,2,2,2,2,Medium,30,Medium,https://hdl.handle.net/10568/125414
Livestock Production Systems,8,Climate Risk Assessment for Ecosystem-Based Adaptation: A Guidebook for Planners and Practitioners,"GIZ, EURAC & UNU-EHS (IKI global project)",2018,Methodological guide,Global (with examples e.g. Peru coastal),Spatial climate-risk mapping and EbA option screening,1,"The spatial analysis in the document applied at the district level in specific instances while demonstrating a methodology that could be applicable globally; however, the specific examples provided, such as the worked flooding example, indicate the analysis was focused on practical applications at the district level. Therefore, the geographic scope at which the method was applied is sub-national.",2,"The spatial method presented in the document employs a modular framework that follows standardized analytic steps, such as constructing impact chains and aggregating risk components. However, its dependency on local expert knowledge for developing impact chains and the need for local adaptation in threshold settings introduce significant context-specific elements; hence, while it has some transferable aspects, its application in different regions would still require substantial local calibration and stakeholder involvement.",2,"The analysis described in the document relies on a blend of both available open-access datasets and locally sourced data that may not be consistently obtainable elsewhere. While it mentions geographic and environmental data from public portals and local weather stations, it also references specific socio-economic datasets such as census data, which might vary in availability across different regions. Thus, it is best characterized as employing a mixed approach, making it partially replicable in other regions using equivalent datasets. The methodology is modular but relies on local knowledge and specific data types, which are not universally accessible",2,2,3,2,2,Medium,100,High,https://hdl.handle.net/10568/135767
Water & Wetland Systems,1,"WET‐Prioritise: Guidelines for prioritising wetlands at national, regional and local scales",Water Research Commission (South Africa),2009,Guidelines (technical report),"South Africa (national, multi-scale)",MCDA / weighted overlay,2,"The document discusses decision-support tools for Forest Landscape Restoration (FLR) that are applicable at various spatial scales, including national assessments and sub-national prioritization. However, it notably analyzes and reviews tools that have been applied specifically at national levels, such as the ROAM applications in several countries. Therefore, the largest geographic scale at which the method was applied is national",2,"The spatial method employed in the reviewed document integrates multi-criteria decision analysis (MCDA) and weighted overlays with a focus on local stakeholder engagement for prioritization in spatial planning. Although the framework is standard and capable of productive application in various contexts, it relies heavily on local calibration of weights and stakeholder input, which are context-specific and essential for effectively addressing local conditions and priorities",2,"The summary mentions the use of tools such as ROAM and ROOT, which utilize spatial datasets for Forest Landscape Restoration (FLR). However, it does not specify the sources of these datasets, such as whether they are global or local. The analysis includes both spatially explicit information layers and economic modeling but relies on a mixture of potentially local data (e.g., restoration cost components, ecosystem service maps for specific contexts) and possibly global datasets, making it difficult to determine the exact reproducibility in a different region. Given these considerations, I would rate the generalizability of the datasets as mixed, as it likely includes both global resources and local datasets that would need to be gathered anew in different regions. 

2",2,2,2,2,2,Medium,30,Medium,https://www.wrc.org.za/wp-content/uploads/mdocs/TT%20337%20web.pdf
Water & Wetland Systems,2,Wetlands by Design: A Watershed Approach for Wisconsin,Wisconsin DNR & The Nature Conservancy,2017,Analytical planning report,"Wisconsin, USA (state-wide)",MCDA / weighted overlay,2,"The spatial analysis was applied at a statewide level in Wisconsin, explicitly focusing on the prioritization of wetlands across various nested watershed units. The methodology involved assessing ecosystem-service declines and site prioritization for wetland preservation and restoration, utilizing a comprehensive decision support system",2,"The method employs a structured, multi-scale approach for wetland prioritization based on ecosystem service assessments and GIS analyses, which provides a solid analytical framework. However, the reliance on locally specific expert judgment for service assessments, combined with the need for local datasets and conditions, indicates that significant adaptation would be necessary for application in different regions",1,"The analysis relies heavily on statewide geospatial datasets specific to Wisconsin, such as the Wisconsin Wetland Inventory, state potentially restorable wetlands data, and state hydrography/topography data. While some methodologies and concepts could be broadly applicable, the specific datasets used are not openly available for other regions, which makes replication in different areas challenging without equivalent local data sources. Therefore, although the approach is a useful framework, it largely depends on locally specific data, which limits generalizability. The integration of state-specific data and the emphasis on local conditions lead me to conclude this assessment warrants a score of 1 for its primarily local nature. 

1",2,2,1,2,2,Medium,20,Low,https://www.nawm.org/wetlandsonestop/llww_reports/wetlands_by_design_a_watershed_approach_for_wisconsin.pdf
Water & Wetland Systems,5,Mapping the Potential for Rainwater Harvesting under Various Scenarios,FutureWater (commissioned by RAIN Foundation),2014,Technical report (methodology guide),"West Africa (Mali, Senegal, Burkina Faso)",Suitability mapping,2,"The spatial analysis was applied at a national level across multiple hierarchical units organized by the Water Framework Directive in England; thus, the analysis covered the entire country, demonstrating a comprehensive methodological application. Therefore, a score of 2 is appropriate for the national scale demonstrated.",2,"The spatial method of suitability mapping described in the document utilizes a specific analytical framework based on national datasets and premise-based rules that may not be directly applicable in regions with different hydrological contexts or datasets. While the foundational approach has potential for adaptation, it requires local calibration and adjustments to the assumptions, particularly for regions with varying flood risks and environmental conditions",2,"The document utilizes a variety of open datasets such as the Environment Agency flood risk layers and various national datasets (e.g., WFD catchment boundaries, CORINE land cover, and the Forestry Commission National Forest Inventory), which supports the analysis's reproducibility",2,2,1,2,2,Medium,20,Low,https://www.futurewater.nl/wp-content/uploads/2014/12/FutureWater_Rainwater_Harvesting_West_Africa.pdf
Water & Wetland Systems,6,Identification of spatial priorities for re-opening wetlands to restore connectivity,FAO & IUCN,2017,Study report (FAO Fisheries Circular),"Xe Champhone wetland, Lao PDR",Spatial screening / feasibility,1,"The spatial analysis was applied specifically within the Xe Champhone wetland complex in Savannakhet Province, Lao PDR, focusing on the identification and mapping of priority sites for restoration efforts",1,"The spatial prioritisation method described is highly context-specific, relying on local expert knowledge, community engagement, and qualitative assessments without a standardized or easily replicable framework for other regions. While it provides valuable insights for the specific study area, the lack of a generalized methodology and the qualitative nature of the inputs make it not readily applicable to different locations without major recalibration and local adaptation",2,"The analysis utilizes a combination of locally sourced field data (e.g., primary data from site visits, GPS-referenced measurements, and community surveys) and literature on connectivity and invasive species, indicating a reliance on specific local knowledge and data collection methods. While it may reference broader concepts such as climate vulnerability assessments, the heavy dependence on localized data suggests that replicating this analysis in another region would involve not just finding equivalent datasets, but also collecting new local data, making it less generalizable. Thus, it scores a 2 for using both global datasets and substantial local data. 

2",1,1,1,1,1,Low,10,Low,https://www.fao.org/3/i7107e/i7107e.pdf
Water & Wetland Systems,7,Prioritizing Nature-Based Solutions for Water Management (Middle Rio Grande),World Wildlife Fund (WWF),2023,Project technical proposal,"New Mexico, USA (Middle Rio Grande)",Spatial screening / feasibility,1,"The spatial analysis was applied specifically to the Middle Rio Grande in New Mexico, from Cochiti Dam to Caballo Reservoir, focusing on local vegetation mapping and evapotranspiration estimations",2,"The spatial method applied in this study integrates established vegetation mapping and evapotranspiration modeling techniques, relying on pre-existing frameworks and satellite data, which allows for generalizability across different regions with some adaptation needed for local vegetation types and specific conditions. However, the lack of a formal weighting scheme and reliance on stakeholder input for prioritization means that while the method's underlying structure could be replicated, critical parameters will still need local recalibration. Thus, this method is moderately transferable.",2,"The analysis primarily relies on local data sources such as the New Mexico Riparian Habitat Map (NMRipMap), ground ET measurements specific to the region, and hydrologic model outputs from the New Mexico Interstate Stream Commission. While there is usage of globally available Landsat imagery, the localized datasets and methodologies suggest that replication in a different region would require collecting specific local data, thus making the analysis less generalizable",2,1,1,1,1.5,Low,5,Low,https://www.worldwildlife.org/publications/prioritizing-nature-based-solutions-for-water-management-middle-rio-grande
Water & Wetland Systems,8,Mapping the Potential for Working with Natural Processes – User Guide,Environment Agency (England) / JBA Consulting,2017,Technical guidance document,England & Wales (national),Suitability mapping,2,"The document focuses on producing maps of rainwater harvesting potential specifically for England and Wales, indicating that the spatial analyses were applied at the national scale rather than locally or at an international level",2,"The spatial method of suitability mapping proposed in the document utilizes global datasets and a structured framework for assessing rainwater harvesting potential, allowing it to be adapted to different contexts with some local calibration and adjustments to weights. However, it still relies on expert judgment and local data interpretation to ensure relevance to specific regions, which detracts from its full transferability without additional effort. Thus, while the method has elements that could be replicated elsewhere, significant local adaptation and validation would be necessary for practical application",2,"The summary mentions several specific global datasets that comprise the evidence base for the analysis, including gridded population datasets (CIESIN/FAO/CIAT), ESA GLOBCOVER for land use, SRTM for drainage networks, and various climate data sources such as CGIAR Climate Explorer and precipitation from TRMM and CRU. The emphasis on these openly available global datasets underlines the potential for replicating the analysis in other regions utilizing similar data. However, there is an acknowledgment that local datasets may yield greater accuracy but are harder to obtain, which indicates that not all inputs are universally accessible. Given this combination of global datasets primarily used alongside limited local data considerations, I would score this as a 2.",2,2,2,2,2,Medium,70,Medium,https://www.es.lancs.ac.uk/people/nickc/Hankin_etal2017WwNP.pdf
Water & Wetland Systems,9,Natural and Nature-Based Flood Management: A Green Guide (Flood Green Guide),WWF & USAID (OFDA),2017,Practitioner guidebook,"Global (framework, with case examples)",Other (integrated planning framework),2,"The spatial analysis in the document primarily operated at the watershed scale as the main planning unit, with consideration for nested scales such as national, watershed, floodplain, community, and household levels. This indicates that while the framework can be applied at various levels, the highest scope in the spatial application is the watershed scale, which encompasses national and sub-national scales",2,"The spatial method described is moderately transferable, as it provides a structured procedural framework for integrated flood management that could be adapted to different contexts, but it lacks formal quantitative models and relies on qualitative assessments that would require local adaptation, such as reassigning weights and tuning regional parameters",2,"The summary indicates that the analysis relies predominantly on locally sourced and community-based observations, alongside specific data types that are not consistently available across regions, such as institutional capacity documentation and localized infrastructure inventories. The mention of meteorological and hydrological data implies reliance on historical weather data and local conditions, but it does not specify whether these data are globally accessible or require local collection. Thus, the outcome would largely vary by region due to these dependencies on local datasets. Therefore, I would classify the generalizability of the datasets used in the analysis as mixed",2,2,2,2,2,Medium,50,Medium,https://c402277.ssl.cf1.rackcdn.com/publications/1058/files/original/WWF_Flood_Green_Guide_FINAL.pdf?1495628174=
